1,P1,P2,0,0,0,0,0,0,0,0,0,0
2,P3,0,0,0,0,0,0,0,0,0,0,0
3,P1,P4,P5,P6,P7,0,0,0,0,0,0,0
4,P8,P9,P10,P11,P12,0,0,0,0,0,0,0
5,P1,0,0,0,0,0,0,0,0,0,0,0
6,P1,P13,0,0,0,0,0,0,0,0,0,0
7,P14,P1,P15,P16,P10,0,0,0,0,0,0,0
8,P17,P16,P1,0,0,0,0,0,0,0,0,0
9,P1,P18,0,0,0,0,0,0,0,0,0,0
10,P14,P1,P19,P16,0,0,0,0,0,0,0,0
11,P1,P20,P21,P6,P5,P22,P23,P24,P25,0,0,0
12,P1,0,0,0,0,0,0,0,0,0,0,0
13,P17,0,0,0,0,0,0,0,0,0,0,0
14,P1,0,0,0,0,0,0,0,0,0,0,0
15,P26,0,0,0,0,0,0,0,0,0,0,0
16,P9,P18,P1,0,0,0,0,0,0,0,0,0
17,P27,P6,P5,P1,P16,0,0,0,0,0,0,0
18,P1,0,0,0,0,0,0,0,0,0,0,0
19,P1,0,0,0,0,0,0,0,0,0,0,0
20,P1,0,0,0,0,0,0,0,0,0,0,0
21,P1,0,0,0,0,0,0,0,0,0,0,0
22,P28,P6,P5,P29,P30,P31,P18,P1,P32,P17,P16,P33
23,P32,P14,P1,0,0,0,0,0,0,0,0,0
24,P10,P1,0,0,0,0,0,0,0,0,0,0
25,P17,P33,P1,0,0,0,0,0,0,0,0,0
26,P1,0,0,0,0,0,0,0,0,0,0,0
27,P1,0,0,0,0,0,0,0,0,0,0,0
28,P34,0,0,0,0,0,0,0,0,0,0,0
29,P17,P1,0,0,0,0,0,0,0,0,0,0
30,P18,P1,P35,P16,0,0,0,0,0,0,0,0
31,P1,0,0,0,0,0,0,0,0,0,0,0
32,P36,P1,0,0,0,0,0,0,0,0,0,0
33,P28,P6,P5,P29,P30,P31,P18,P1,P32,P17,P16,P33
34,P37,0,0,0,0,0,0,0,0,0,0,0
35,P18,P1,0,0,0,0,0,0,0,0,0,0
36,P37,0,0,0,0,0,0,0,0,0,0,0
37,P18,P1,0,0,0,0,0,0,0,0,0,0
38,P1,0,0,0,0,0,0,0,0,0,0,0
39,P1,0,0,0,0,0,0,0,0,0,0,0
40,P1,0,0,0,0,0,0,0,0,0,0,0
41,P38,P6,P19,P5,P9,P31,P1,P39,0,0,0,0
42,P18,P1,P4,0,0,0,0,0,0,0,0,0
43,P33,P36,P1,0,0,0,0,0,0,0,0,0
44,P5,0,0,0,0,0,0,0,0,0,0,0
45,P17,P1,0,0,0,0,0,0,0,0,0,0
46,P18,P1,0,0,0,0,0,0,0,0,0,0
47,P1,P40,0,0,0,0,0,0,0,0,0,0
48,P1,0,0,0,0,0,0,0,0,0,0,0
49,P41,P42,P1,0,0,0,0,0,0,0,0,0
50,P1,P16,P22,P20,0,0,0,0,0,0,0,0
51,P1,0,0,0,0,0,0,0,0,0,0,0
52,P26,P1,0,0,0,0,0,0,0,0,0,0
53,P43,P39,P1,0,0,0,0,0,0,0,0,0
54,P17,P1,0,0,0,0,0,0,0,0,0,0
55,P1,P33,P16,P20,0,0,0,0,0,0,0,0
56,P44,0,0,0,0,0,0,0,0,0,0,0
57,P1,0,0,0,0,0,0,0,0,0,0,0
58,P1,P29,P30,P31,P45,P18,0,0,0,0,0,0
59,P1,0,0,0,0,0,0,0,0,0,0,0
60,P46,0,0,0,0,0,0,0,0,0,0,0
61,P1,0,0,0,0,0,0,0,0,0,0,0
62,P1,0,0,0,0,0,0,0,0,0,0,0
63,P1,P47,P6,P5,P24,0,0,0,0,0,0,0
64,P39,P14,P15,P1,0,0,0,0,0,0,0,0
65,P48,P6,P5,P49,P31,P18,P1,P50,0,0,0,0
66,P51,P6,P5,P17,P1,P15,P52,P33,0,0,0,0